,0
1903,12520
1904,12521
1905,12522
1906,12523
1907,12524
1908,12525
1909,12526
1910,12527
1911,12528
1912,12529
1913,12530
1914,12531
1915,12532
1916,12533
1917,12534
1918,12535
1919,12536
1920,12537
1921,12538
1922,12539
1923,12540
1924,12541
1925,12542
1926,12543
1927,12544
1928,12545
1929,12546
1930,12547
1931,12548
1932,12549
1933,12550
1934,12551
1935,12552
1936,12553
1937,12554
1938,12555
1939,12556
1940,12557
1941,12558
1942,12559
1943,12560
1944,12561
1945,12562
1946,12563
1947,12564
1948,12565
1949,12566
1950,12567
1951,12568
1952,12569
1953,12570
1954,12571
1955,12572
1956,12573
1957,12574
1958,12575
1959,12576
1960,12577
1961,12578
1962,12579
1963,12777
1964,12778
1965,12779
1966,12780
1967,12781
1968,12782
1969,12783
1970,12784
1971,12785
1972,12786
1973,12787
1974,12788
1975,12789
1976,12790
1977,12791
1978,12792
1979,12793
1980,12794
1981,12795
1982,12796
1983,12797
1984,12798
1985,12799
1986,12800
1987,12801
1988,12802
1989,12803
1990,13434
1991,13435
1992,13436
1993,13437
1994,13438
1995,13439
1996,13440
1997,13441
1998,13442
1999,13443
2000,13444
2001,13445
2002,13446
2003,13447
2004,13448
2005,13449
2006,13450
2007,13451
2008,13452
2009,13453
2010,13454
2011,13455
2012,13456
2013,13457
2014,13458
2015,13459
2016,13460
2017,13461
2018,13462
2019,13463
2020,13464
2021,13465
2022,13466
2023,13467
2024,13468
2025,13469
2026,13470
2027,13471
2028,13472
2029,13473
2030,13474
2031,13475
2032,13476
2033,13477
2034,13478
2035,13479
2036,13480
2037,13481
2038,13482
2039,13483
2040,13484
2041,13485
2042,13486
2043,13487
2044,13488
2045,13489
2046,13490
2047,13491
2048,13650
2049,13651
2050,13652
2051,13653
2052,13654
2053,13655
2054,13656
2055,13657
2056,13658
2057,13659
2058,13660
2059,13661
2060,13662
2061,13663
2062,13664
2063,13665
2064,13666
2065,13667
2066,13668
2067,13669
2068,13670
2069,13671
2070,13672
2071,13673
2072,13674
2073,13675
2074,13676
2075,13677
2076,13678
2077,13679
2078,13680
2079,13681
2080,13682
2081,13683
2082,13684
2083,13685
2084,13686
2085,13687
2086,13688
2087,13689
2088,13690
2089,13691
2090,13692
2091,13693
2092,13694
2093,13695
2094,13696
2095,13697
2096,13698
2097,13699
2098,13700
2099,13701
2100,13702
2101,13703
2102,13704
2103,13705
2104,13706
2105,13707
2106,13708
2107,13709
2108,13710
